,description,date,Human voice - Shouting,Human voice - Singing,Music non-amplified,Nature elements - Wind,Transport road - Passenger car,Transport road - Siren,Unsupported,latitude,longitude
0,MP 01: Naamsestraat 35  Maxim,2022-03-07,10,0,0,0,4,1,0,50.877160828051615,4.7006992525313445
1,MP 01: Naamsestraat 35  Maxim,2022-03-08,39,0,1,0,20,3,0,50.877160828051615,4.7006992525313445
2,MP 01: Naamsestraat 35  Maxim,2022-03-09,28,0,0,0,42,0,0,50.877160828051615,4.7006992525313445
3,MP 01: Naamsestraat 35  Maxim,2022-03-10,39,0,0,0,27,0,0,50.877160828051615,4.7006992525313445
4,MP 01: Naamsestraat 35  Maxim,2022-03-11,70,0,0,0,44,3,0,50.877160828051615,4.7006992525313445
5,MP 01: Naamsestraat 35  Maxim,2022-03-12,3,0,0,2,20,1,0,50.877160828051615,4.7006992525313445
6,MP 01: Naamsestraat 35  Maxim,2022-03-13,2,0,0,1,9,1,0,50.877160828051615,4.7006992525313445
7,MP 01: Naamsestraat 35  Maxim,2022-03-14,20,0,1,0,143,1,0,50.877160828051615,4.7006992525313445
8,MP 01: Naamsestraat 35  Maxim,2022-03-15,36,0,0,0,40,4,0,50.877160828051615,4.7006992525313445
9,MP 01: Naamsestraat 35  Maxim,2022-03-16,44,0,0,0,46,3,0,50.877160828051615,4.7006992525313445
10,MP 01: Naamsestraat 35  Maxim,2022-03-17,67,0,0,0,27,0,0,50.877160828051615,4.7006992525313445
11,MP 01: Naamsestraat 35  Maxim,2022-03-18,48,0,0,0,36,1,0,50.877160828051615,4.7006992525313445
12,MP 01: Naamsestraat 35  Maxim,2022-03-19,3,0,1,1,15,2,0,50.877160828051615,4.7006992525313445
13,MP 01: Naamsestraat 35  Maxim,2022-03-20,1,0,0,0,12,0,0,50.877160828051615,4.7006992525313445
14,MP 01: Naamsestraat 35  Maxim,2022-03-21,21,0,5,0,45,0,0,50.877160828051615,4.7006992525313445
15,MP 01: Naamsestraat 35  Maxim,2022-03-22,33,0,0,0,21,0,3,50.877160828051615,4.7006992525313445
16,MP 01: Naamsestraat 35  Maxim,2022-03-23,25,0,0,0,18,0,14,50.877160828051615,4.7006992525313445
17,MP 01: Naamsestraat 35  Maxim,2022-03-24,44,0,0,0,24,0,28,50.877160828051615,4.7006992525313445
18,MP 01: Naamsestraat 35  Maxim,2022-03-25,34,0,0,0,13,0,9,50.877160828051615,4.7006992525313445
19,MP 01: Naamsestraat 35  Maxim,2022-03-26,1,0,0,0,15,0,3,50.877160828051615,4.7006992525313445
20,MP 01: Naamsestraat 35  Maxim,2022-03-27,6,0,0,0,6,0,9,50.877160828051615,4.7006992525313445
21,MP 01: Naamsestraat 35  Maxim,2022-03-28,2,0,0,0,13,0,6,50.877160828051615,4.7006992525313445
